"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"1048","1048","10480",1,4,-6,2,1,30,40,-6,-6,-6,3,7,7,7,7,7,7,7,7,7,1,0,2,-6,2,-6,2,2,30,-6,-6,2,-6,3,0,0,0,0,2,0,2,1,5,1,0,0,0
"1049","1049","10490",1,5,-6,2,5,21,40,-6,-6,-6,2,7,7,0,7,7,7,7,7,7,0,0,2,-6,1,40,2,2,0,7,2001,1,730,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1050","1050","10500",1,1,-6,1,-6,36,35,-6,1,1,3,7,4,3,6,7,7,0,7,5,1,7,2,-6,1,24,1,-6,-6,-6,-6,-6,-6,1,2,0,7,2,7,7,2,7,5,1,3,1,7
"1051","1051","10510",0,4,-6,2,4,22,38,-6,-6,-6,7,7,7,5,3,7,7,3,7,7,5,0,1,3,1,40,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1052","1052","10520",1,1,-6,1,-6,37,38,-6,1,1,7,7,7,7,7,7,7,7,7,7,2,7,1,2,1,20,1,-6,-6,-6,-6,-6,-6,3,7,7,7,7,7,7,2,7,7,7,7,2,7
"1053","1053","10530",1,1,-6,1,-6,23,38,-6,1,1,7,7,7,7,2,7,7,2,3,7,2,0,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,4,2,2,5,2,7,7,2,7,2,5,7,2,0
"1054","1054","10540",0,5,-6,2,4,24,37,-6,-6,-6,6,7,4,3,7,7,7,3,7,7,1,0,1,4,1,40,2,2,0,1,2001,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1055","1055","10550",1,1,3,2,1,30,33,-6,2,2,7,7,7,2,7,7,7,7,7,7,2,0,1,1,2,-6,1,-6,-6,-6,-6,-6,-6,3,3,3,3,0,3,1,1,7,1,3,3,2,0
"1056","1056","10560",0,5,-6,2,5,29,35,-6,-6,-6,4,7,4,2,4,7,7,4,4,6,3,7,1,4,1,35,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1057","1057","10570",1,2,2,2,1,30,34,1,4,2,4,7,7,4,5,7,7,5,4,5,1,2,1,4,1,1,2,2,8,-6,-6,1,7,1,1,1,1,3,1,1,2,7,1,1,4,1,1
"1058","1058","10580",1,1,-6,1,-6,36,38,-6,1,1,7,7,4,4,5,7,7,7,4,7,3,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,4,4,6,4,1,7,7,2,7,3,7,7,3,4
