"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"2260","2260","22600",1,2,1,2,2,2,18,1,2,1,2,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22601",-6,2,-6,-6,2,-6,-6,2,-6,-6,2,-6,2,1,1,2,5,3,5
"2261","2261","22610",1,2,1,2,1,2,19,1,2,2,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,2,2,5,5,3,"22611",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,2,5,4,3
"2262","2262","22620",1,2,1,1,2,2,29,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22621",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"2263","2263","22630",1,2,1,2,2,2,21,2,2,1,2,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,5,4,"22631",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,2,4
"2264","2264","22640",1,2,1,2,1,2,21,1,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"22641",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,2,5,4,4
"2265","2265","22650",0,2,1,2,1,2,20,1,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,3,"22651",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2266","2266","22660",1,2,1,1,2,2,21,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22661",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"2267","2267","22670",0,2,1,1,2,2,24,1,2,1,2,-6,2,-6,2,-6,2,-6,3,-6,2,-6,1,2,5,5,4,"22671",-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,2,5,4,5
"2268","2268","22680",1,2,1,1,1,2,22,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22681",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"2269","2269","22690",0,1,-6,-6,-6,-6,32,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,-6,5,5,4,"22691",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2270","2270","22700",1,2,1,1,2,1,19,2,2,1,2,-6,1,-6,1,-6,2,-6,3,-6,1,-6,2,1,5,4,3,"22701",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,4
"2271","2271","22710",1,2,1,1,2,2,24,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22711",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
